file|error code|error message|start line|start char|end line|end char
c:\Games\Settings\A-Deadly-Tempest\mod\events\00_gray_goo_events.txt|CW244|humang is not a target. Expected a target in scope(s) [Country; Pop; Leader; ... ]
or
Expected value of type portrait
or
Expected value of type portrait_group
or
Expecting value random|521|5|521|13
common\component_templates\adt_nsc_bulwark_reactors.txt|CW112|Sprite type "GFX_ship_part_reactor_6_NSC" not found|150|1|150|5
common\component_templates\adt_nsc_bulwark_reactors.txt|CW112|Sprite type "GFX_ship_part_reactor_7_NSC" not found|169|1|169|5
common\component_templates\adt_nsc_bulwark_reactors.txt|CW112|Sprite type "GFX_ship_part_reactor_8_NSC" not found|188|1|188|5
common\component_templates\adt_nsc_bulwark_reactors.txt|CW112|Sprite type "GFX_ship_part_reactor_9_NSC" not found|207|1|207|5
common\component_templates\adt_nsc_bulwark_reactors.txt|CW112|Sprite type "GFX_ship_part_reactor_11_enigmatic_NSC" not found|226|1|226|5
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|35|54|35|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|54|54|54|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|74|54|74|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|93|54|93|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|112|54|112|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|133|54|133|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|160|54|160|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|tech_graviton_power is unexpected in prerequisites|158|19|158|38
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|179|54|179|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|tech_naquadria_power is unexpected in prerequisites|177|19|177|39
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|198|54|198|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|tech_singularity_power is unexpected in prerequisites|196|19|196|41
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|217|54|217|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|tech_multidimensional_power is unexpected in prerequisites|215|19|215|46
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|military_station_xl_bulwark is unexpected in size_restriction|236|54|236|81
common\component_templates\adt_nsc_bulwark_reactors.txt|CW264|tech_optimized_enigmatic_power is unexpected in prerequisites|234|19|234|49
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventEndgame is not defined|58|3|58|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventMidgame is not defined|60|3|60|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventSleeper is not defined|62|3|62|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventSleeper is not defined|74|4|74|10
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventEndgame is not defined|69|3|69|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventMidgame is not defined|71|3|71|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventMidgame is not defined|85|4|85|10
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventEndgame is not defined|82|3|82|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventSleeper is not defined|88|3|88|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventMidgame is not defined|98|4|98|10
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventSleeper is not defined|102|4|102|10
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventEndgame is not defined|95|3|95|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventEndgame is not defined|111|4|111|10
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventMidgame is not defined|114|3|114|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventSleeper is not defined|116|3|116|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventEndgame is not defined|124|4|124|10
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventSleeper is not defined|130|4|130|10
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventMidgame is not defined|127|3|127|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventEndgame is not defined|139|4|139|10
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventMidgame is not defined|143|4|143|10
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventSleeper is not defined|146|3|146|9
common\scripted_loc\Cmt02_Template_scripted_loc.txt|CW101|@CmtT101_ConstActivatedEventEndgame is not defined|154|4|154|10
